"source.ip","winlog.event_data.LogonType","@timestamp"
"192.168.1.4",10,"May 15, 2025 @ 02:45:43"
"192.168.1.4",10,"May 15, 2025 @ 02:45:43"
"192.168.1.4",3,"May 15, 2025 @ 02:45:37"
"192.168.1.4",3,"May 15, 2025 @ 02:45:36"
"192.168.1.4",3,"May 15, 2025 @ 02:45:34"
"192.168.1.4",3,"May 15, 2025 @ 02:45:33"
"192.168.1.4",3,"May 15, 2025 @ 02:45:32"
"192.168.1.4",3,"May 15, 2025 @ 02:45:30"
"192.168.1.4",3,"May 15, 2025 @ 02:45:29"
"192.168.1.4",10,"May 15, 2025 @ 02:33:56"
"192.168.1.4",10,"May 15, 2025 @ 02:33:56"
"192.168.1.4",3,"May 15, 2025 @ 02:33:48"
"192.168.1.4",3,"May 15, 2025 @ 02:33:46"
"192.168.1.4",3,"May 15, 2025 @ 02:33:45"
"192.168.1.4",3,"May 15, 2025 @ 02:33:43"
"192.168.1.4",3,"May 15, 2025 @ 02:33:41"
"192.168.1.4",3,"May 15, 2025 @ 02:33:40"
"192.168.1.4",3,"May 15, 2025 @ 02:33:38"
"192.168.1.4",3,"May 15, 2025 @ 02:33:35"
